Job Title;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
Data Engineer 4 - Contract;4.2;The Church of Jesus Christ of Latter-day Saints;Nonprofit Organization;Religious Organizations;Non-Profit;Unknown / Non-Applicable;-1;0;1;0;0;59.0;115.0;87.0;Riverton; UT;Salt Lake City; UT;1;0;7.0;-1;1;0;0;1;0
Data Analyst - Asset Management;4.3;Maximus Real Estate Partners;Company - Private;Real Estate;Real Estate;Unknown / Non-Applicable;Greystar, The Related Companies, Prometheus Real Estate Group;0;1;0;0;71.0;136.0;103.5;San Francisco; CA;San Francisco; CA;1;1;2.0;9;0;0;0;0;0
Senior Research Scientist - Embedded System Development for DevOps;2.6;Software Engineering Institute;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1;0;1;0;0;81.0;167.0;124.0;Pittsburgh; PA;Pittsburgh; PA;1;1;4.0;38;0;1;1;0;1
Data Scientist - Bioinformatics;3.8;PNNL;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory;0;1;0;0;49.0;85.0;67.0;Richland; WA;Richland; WA;1;1;5.0;57;0;1;0;0;1
Data Engineer;3.9;AVANADE;Company - Private;IT Services;Information Technology;$2 to $5 billion (USD);Slalom, Cognizant Technology Solutions, Deloitte;0;1;0;0;60.0;114.0;87.0;Washington; DC;Seattle; WA;0;0;7.0;22;0;0;0;0;0
Customer Data Scientist/Sales Engineer;4.3;h2o.ai;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;71.0;204.0;137.5;Chicago; IL;Mountain View; CA;0;0;3.0;11;1;1;0;0;1
Lead Data Scientist;3.8;PatientPoint;Company - Private;Advertising & Marketing;Business Services;$100 to $500 million (USD);Outcome Health, Health Media Network, Mesmerize Marketing;0;1;0;0;75.0;125.0;100.0;Cincinnati; OH;Cincinnati; OH;1;1;3.0;35;0;1;0;0;0
MongoDB Data Engineer II;3.8;BlueCross BlueShield of Tennessee;Nonprofit Organization;Insurance Carriers;Insurance;$5 to $10 billion (USD);-1;0;1;0;0;77.0;136.0;106.5;Chattanooga; TN;Chattanooga; TN;1;1;6.0;77;0;0;0;0;0
Senior Data Scientist Statistics;3.8;PNNL;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory;0;1;0;0;74.0;123.0;98.5;Richland; WA;Richland; WA;1;1;5.0;57;0;0;0;0;1
Senior Data Analyst;4.8;KnowBe4;Company - Private;Security Services;Business Services;$100 to $500 million (USD);-1;0;1;0;0;44.0;78.0;61.0;Clearwater; FL;Clearwater; FL;1;1;4.0;12;0;1;1;0;0
